2026-07-13 12:50:18.999 | INFO     | __main__:record:116 - tag=prune12 | decision=skip_no_serialize | source=output/pat/ft_BAAI__bge-m3_prune12/
2026-07-13 12:50:19.046 | INFO     | __main__:record:116 - tag=rdrop | decision=skip_no_serialize | source=output/pat/ft_BAAI__bge-m3_rdrop/
Some weights of the model checkpoint at output/pat/ft_BAAI__bge-m3_supcon/checkpoint-10500 were not used when initializing XLMRobertaForSequenceClassification: ['supcon_proj.0.bias', 'supcon_proj.0.weight', 'supcon_proj.2.bias', 'supcon_proj.2.weight']
- This IS expected if you are initializing XLMRobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing XLMRobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
2026-07-13 12:53:43.149 | INFO     | __main__:record:116 - tag=supcon | decision=ok | self_f1=0.7207 | clean=True | serialize=v1 | source=output/pat/ft_BAAI__bge-m3_supcon/checkpoint-10500
2026-07-13 12:53:43.250 | INFO     | __main__:record:116 - tag=ft_Qwen__Qwen3-Embedding-0.6B | decision=skip_no_serialize | source=output/pat/ft_Qwen__Qwen3-Embedding-0.6B/
2026-07-13 12:53:43.332 | INFO     | __main__:record:116 - tag=e4_ffn_r512_recover_e8b | decision=skip_incompat | source=output/pat/ft_Qwen__Qwen3-Embedding-0.6B_e4_ffn_r512_recover_e8b/
2026-07-13 12:55:11.908 | INFO     | __main__:record:116 - tag=a24_anchor_full_scratch | decision=ok | self_f1=0.7793 | clean=True | serialize=richargs | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_a24_anchor_full_scratch/checkpoint-12468
2026-07-13 12:55:12.007 | INFO     | __main__:record:116 - tag=a24_attn_k90_recover | decision=skip_incompat | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_a24_attn_k90_recover/
2026-07-13 12:55:12.042 | INFO     | __main__:record:116 - tag=a24_attn_k90_scratch | decision=skip_incompat | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_a24_attn_k90_scratch/
2026-07-13 12:55:12.093 | INFO     | __main__:record:116 - tag=a24_sal_k90_scratch | decision=skip_incompat | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_a24_sal_k90_scratch/
2026-07-13 12:55:12.131 | INFO     | __main__:record:116 - tag=a24_smoke_attn_k90_scratch | decision=skip_incompat | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_a24_smoke_attn_k90_scratch/
2026-07-13 12:55:12.179 | INFO     | __main__:record:116 - tag=b24_drop2_recover | decision=skip_incompat | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_b24_drop2_recover/
2026-07-13 12:55:12.210 | INFO     | __main__:record:116 - tag=b24_drop2_scratch | decision=skip_incompat | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_b24_drop2_scratch/
2026-07-13 12:55:12.250 | INFO     | __main__:record:116 - tag=b24_drop5_recover | decision=skip_incompat | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_b24_drop5_recover/
